iter	RMSE
0	7.328155386
1	7.243520478
2	7.183402993
3	7.093479206
4	7.023197119
5	6.967815896
6	6.895998356
7	6.843857206
8	6.806134005
9	6.743281259
10	6.711146818
11	6.663971097
12	6.624960815
13	6.579449043
14	6.527542767
15	6.494546145
16	6.44908766
17	6.414799016
18	6.372550275
19	6.31857164
20	6.287508049
21	6.26668566
22	6.230768478
23	6.192416762
24	6.139600047
25	6.113317676
26	6.083082304
27	6.049245454
28	6.021225602
29	6.001272551
30	5.961359536
31	5.944416704
32	5.92526135
33	5.909183202
34	5.886786096
35	5.856251322
36	5.839159944
37	5.829153377
38	5.802873228
39	5.782248618
40	5.769184707
41	5.750960876
42	5.737684024
43	5.717335817
44	5.695066799
45	5.676438644
46	5.66147268
47	5.643927234
48	5.620598672
49	5.602094579
50	5.579756223
51	5.569618197
52	5.553498136
53	5.53949835
54	5.525503214
55	5.507574553
56	5.489292628
57	5.468702744
58	5.437095698
59	5.419547411
60	5.405432153
61	5.387955925
62	5.360825226
63	5.35279929
64	5.340713159
65	5.328046766
66	5.308714768
67	5.298437565
68	5.282764743
69	5.269620147
70	5.263974174
71	5.252687426
72	5.234133506
73	5.227335249
74	5.215877044
75	5.187793367
76	5.177432757
77	5.167757623
78	5.159214653
79	5.136240729
80	5.118808354
81	5.103095359
82	5.093830873
83	5.081609504
84	5.07295853
85	5.063154839
86	5.05135834
87	5.040442591
88	5.024386638
89	5.013594161
90	5.004586364
91	4.995875894
92	4.98212747
93	4.971219972
94	4.955212835
95	4.948313765
96	4.937535794
97	4.918807693
98	4.902998875
99	4.888753556
100	4.862909459
101	4.848223942
102	4.838781954
103	4.827504948
104	4.815676626
105	4.806717781
106	4.793355735
107	4.783638845
108	4.770842359
109	4.759482268
110	4.740593829
111	4.725841289
112	4.715461808
113	4.69704775
114	4.685175319
115	4.668414767
116	4.657474853
117	4.653556414
118	4.64507562
119	4.634808622
120	4.627091887
121	4.610896299
122	4.601925516
123	4.588446184
124	4.575632288
125	4.570022082
126	4.561643472
127	4.549559875
128	4.543569022
129	4.537478393
130	4.532273625
131	4.526535123
132	4.516890847
133	4.506871799
134	4.501219024
135	4.491367548
136	4.479661199
137	4.465628111
138	4.448699248
139	4.437796396
140	4.432602267
141	4.426498533
142	4.414399187
143	4.397367809
144	4.384123737
145	4.37574519
146	4.360857458
147	4.351477117
148	4.336401329
149	4.326001116
150	4.308504883
151	4.305399519
152	4.298875119
153	4.288819316
154	4.281065185
155	4.274091562
156	4.265310233
157	4.259645571
158	4.250300769
159	4.245316378
160	4.23870709
161	4.233177972
162	4.22791485
163	4.224923385
164	4.214139061
165	4.204312412
166	4.188542873
167	4.183114245
168	4.174283964
169	4.170327821
170	4.160788232
171	4.152778146
172	4.143846012
173	4.138565264
174	4.134089837
175	4.127309259
176	4.120171072
177	4.109570913
178	4.101213882
179	4.09642228
180	4.090777316
181	4.082702749
182	4.07209848
183	4.064904671
184	4.055391286
185	4.046399793
186	4.043397411
187	4.031130771
188	4.023525556
189	4.021068332
190	4.013810797
191	4.011122655
192	4.002737758
193	3.998783383
194	3.995638183
195	3.984198273
196	3.980360639
197	3.973315466
198	3.970768571
199	3.957795829
200	3.947168026
201	3.937864881
202	3.92260806
203	3.919177814
204	3.908805554
205	3.90177707
206	3.892160697
207	3.878285699
208	3.864719623
209	3.852370617
210	3.841500602
211	3.833674342
212	3.824312713
213	3.812387112
214	3.811411509
215	3.800416726
216	3.794319606
217	3.783574237
218	3.775779847
219	3.765452214
220	3.755488519
221	3.750809024
222	3.74099228
223	3.734846519
224	3.729524179
225	3.720112818
226	3.713711924
227	3.703017462
228	3.697479033
229	3.690537347
230	3.68486352
231	3.679878815
232	3.6711994
233	3.66779853
234	3.65902798
235	3.655645372
236	3.645975273
237	3.641358717
238	3.634187926
239	3.626949991
240	3.625295536
241	3.618756733
242	3.611865784
243	3.603245504
244	3.591510643
245	3.580865623
246	3.575548112
247	3.566518435
248	3.555930435
249	3.551520778
250	3.544364078
251	3.534681595
252	3.52730552
253	3.523005972
254	3.510705473
255	3.499462246
256	3.493034691
257	3.488030711
258	3.482823307
259	3.47630638
260	3.467216713
261	3.458186433
262	3.451166761
263	3.446018717
264	3.438286568
265	3.435359846
266	3.426672507
267	3.42322926
268	3.413923651
269	3.405230203
270	3.400028068
271	3.390899827
272	3.38773386
273	3.385237459
274	3.378136636
275	3.371399563
276	3.365954858
277	3.35926294
278	3.352967598
279	3.346110334
280	3.334576043
281	3.325630119
282	3.322591537
283	3.315827821
284	3.31063416
285	3.306131256
286	3.29797003
287	3.292229018
288	3.287065215
289	3.279774455
290	3.272739889
291	3.267542639
292	3.264318531
293	3.25864752
294	3.254092914
295	3.247162021
296	3.237039022
297	3.232574065
298	3.228736626
299	3.223596875
