iter	Passed	Remaining
0	1	466
1	3	486
2	5	495
3	6	490
4	8	495
5	10	494
6	11	492
7	13	491
8	15	489
9	16	484
10	18	477
11	20	485
12	21	481
13	23	479
14	25	477
15	26	474
16	28	470
17	29	469
18	31	465
19	33	462
20	34	462
21	36	461
22	38	459
23	39	457
24	41	454
25	42	452
26	44	450
27	46	448
28	47	446
29	49	443
30	65	570
31	67	564
32	69	559
33	70	553
34	72	547
35	74	543
36	75	537
37	77	532
38	78	527
39	80	523
40	82	519
41	83	515
42	85	511
43	87	507
44	88	503
45	90	499
46	91	494
47	93	491
48	95	487
49	96	483
50	98	480
51	99	476
52	101	472
53	102	469
54	104	465
55	106	462
56	107	459
57	109	455
58	111	453
59	112	450
60	114	447
61	115	445
62	117	442
63	119	439
64	120	436
65	122	433
66	123	430
67	126	429
68	128	429
69	129	427
70	131	424
71	133	421
72	134	418
73	136	416
74	137	413
75	139	411
76	141	409
77	143	407
78	144	404
79	146	402
80	147	399
81	149	397
82	150	394
83	152	392
84	154	389
85	156	388
86	157	386
87	159	384
88	161	382
89	162	380
90	164	378
91	166	376
92	167	373
93	169	371
94	171	369
95	173	367
96	174	365
97	176	363
98	177	360
99	179	358
100	181	356
101	182	354
102	184	352
103	186	350
104	187	348
105	189	346
106	191	344
107	192	342
108	194	340
109	195	338
110	197	336
111	198	333
112	201	332
113	202	331
114	204	328
115	206	327
116	207	325
117	209	323
118	211	321
119	212	319
120	214	317
121	216	315
122	218	313
123	219	312
124	221	310
125	223	308
126	224	306
127	226	304
128	228	302
129	229	300
130	231	299
131	233	297
132	235	295
133	236	293
134	238	291
135	240	289
136	241	287
137	243	285
138	244	283
139	247	282
140	248	280
141	250	278
142	252	276
143	253	274
144	255	272
145	256	270
146	258	268
147	260	267
148	262	265
149	263	263
150	265	261
151	267	260
152	268	258
153	270	256
154	271	254
155	273	252
156	275	250
157	276	248
158	278	247
159	280	245
160	281	243
161	283	241
162	285	239
163	286	237
164	288	235
165	289	234
166	291	232
167	303	238
168	305	236
169	306	234
170	308	232
171	310	230
172	311	228
173	313	226
174	314	224
175	316	222
176	318	221
177	319	219
178	321	217
179	323	215
180	325	213
181	327	212
182	329	210
183	330	208
184	332	206
185	334	204
186	336	203
187	337	201
188	339	199
189	341	197
190	343	195
191	344	193
192	346	191
193	347	190
194	349	188
195	351	186
196	368	192
197	370	190
198	371	188
199	373	186
200	375	184
201	376	182
202	378	180
203	380	178
204	381	176
205	383	175
206	385	173
207	390	172
208	391	170
209	393	168
210	395	166
211	396	164
212	398	162
213	400	160
214	401	158
215	403	156
216	404	154
217	406	152
218	408	150
219	409	148
220	411	147
221	412	145
222	414	143
223	416	141
224	417	139
225	419	137
226	421	135
227	422	133
228	424	131
229	425	129
230	427	127
231	429	125
232	431	123
233	432	122
234	434	120
235	435	118
236	437	116
237	439	114
238	440	112
239	442	110
240	443	108
241	445	106
242	447	104
243	449	103
244	451	101
245	452	99
246	454	97
247	455	95
248	457	93
249	458	91
250	461	90
251	463	88
252	464	86
253	466	84
254	467	82
255	469	80
256	471	78
257	472	76
258	474	75
259	476	73
260	478	71
261	479	69
262	481	67
263	483	65
264	484	64
265	486	62
266	487	60
267	489	58
268	491	56
269	493	54
270	495	52
271	497	51
272	499	49
273	501	47
274	503	45
275	504	43
276	506	42
277	508	40
278	510	38
279	511	36
280	513	34
281	514	32
282	516	31
283	518	29
284	519	27
285	522	25
286	523	23
287	525	21
288	526	20
289	528	18
290	530	16
291	531	14
292	533	12
293	535	10
294	536	9
295	538	7
296	540	5
297	541	3
298	543	1
299	544	0
