ETF穿透评分系统 · 全部181个材料覆盖清单（已分类）
生成时间: 2026-07-05
总计: 181个材料 (内置:90 + 插件:91)
覆盖ETF: 353/592 (59.6%)


【半导体】(30个材料, 总覆盖985次)
排名   材料名称                                          覆盖ETF    当前状态
----------------------------------------------------------------------------------------------------
1    碳化硅(SiC)衬底                                    109      800-1200元/片(8英寸)
2    传感器(MEMS)                                     93       0.5-2元/颗
3    光刻胶干法(光敏聚酰亚胺)                                 81       5000-8000元/kg
4    氮化镓(GaN)外延片                                   81       500-800元/片
5    液晶高分子(LCP树脂)                                  81       200-400元/kg
6    PCB(高频高速)                                     81       150-300元/平米
7    EDA工具软件授权                                     76       500-2000万元/年/工程师
8    HBM内存(高带宽)                                    76       $15-25/GB
9    光芯片(100G/400G)                                70       800-1500元/颗
10   二维材料(石墨烯/MoS2)                                59       石墨烯2000-5000元/g
11   雷达T/R组件(氮化镓)                                  32       5000-8000元/单元
12   光刻胶(KrF 248nm)                                18       8000-12000元/kg
13   封装基板(ABF/FCCL)                                17       800-1500元/平米
14   硅片(12英寸)                                      15       300-500元/片
15   半导体设备零部件                                      15       N/A
16   隐身材料(吸波涂层)                                    15       5000-10000元/kg
17   AI推理芯片配套(HBM3E/CoWoS)                         10       HBM3E $800-1200/Gb / CoWoS产能$5..
18   CMP抛光液/垫                                      8        200-400万元/吨
19   光掩模版(光罩)                                      8        5000-20000元/片
20   光刻胶(ArF, 193nm)                               5        战略物资/不公开
21   硅晶圆(12英寸)                                     5        $120-130/片
22   铜箔(电池/PCB双用)                                  4        7-9万元/吨
23   电子气体(NF3/WF6)                                 4        国产化率<20%
24   ABF封装基板                                       4        供不应求
25   SiC衬底                                         4        国产化率<20%
26   硅晶圆(8英寸)                                      3        $35-45/片
27   CMP抛光液                                        3        国产化率<15%
28   GaN衬底                                         3        国产化率<10%
29   石墨烯(单层)                                       3        研发阶段/公斤级试产
30   陶瓷基(SiCf/SiC)                                 2        研发阶段/未规模化

【周期资源】(46个材料, 总覆盖902次)
排名   材料名称                                          覆盖ETF    当前状态
----------------------------------------------------------------------------------------------------
1    铟(氧化铟/ITO靶材)                                  104      1200-1500元/kg
2    稀土永磁(钕铁硼N52UH)                                60       45-55万元/吨
3    生猪(白条猪)                                       55       15-18元/kg(猪周期上行)
4    气凝胶(二氧化硅)                                     53       80000-120000元/立方米
5    锑(金属锑)                                        50       8-12万元/吨
6    碳纳米管(CNT)导电剂                                  45       80-120元/kg
7    钢铁(螺纹钢)                                       45       3500-4000元/吨
8    稀土(氧化镨钕)                                      45       38-42万元/吨
9    工业有色(铝/锌/铅)                                   41       铝18000-20000元/吨
10   铂族金属(Pt/Pd/Rh)                                40       铂280-320元/g, 钯450-550元/g
11   水泥(熟料)                                        40       300-400元/吨
12   煤炭(动力煤)                                       39       800-1000元/吨
13   油气(原油+天然气)                                    39       Brent $75-85/桶
14   镓(Ga)/锗(Ge)金属                                 25       镓$450/kg / 锗$1,200/kg
15   乳制品(原奶)                                       25       3.2-3.5元/kg
16   白炭黑(橡胶级)                                      19       2500-3500元/吨
17   猪肉(白条猪)                                       19       15-18元/公斤
18   糖(白糖)                                         19       5,500-6,500元/吨
19   白银(Ag9999)                                    15       62000-65000元/千克
20   高温合金(Inconel)                                 14       30-50万元/吨
21   钛合金(TC4/Ti-6Al-4V)                            14       20-35万元/吨
22   铀(氧化铀U3O8)                                    13       $90-100/磅
23   玻璃(浮法)                                        10       90-110元/重量箱
24   白银(工业/货币双属性)                                  10       $62.52/盎司
25   氦气(高纯He-4)                                    10       $150-300/千立方英尺
26   核电燃料(铀)                                       7        $60-80/lbU3O8
27   高纯石英砂(5N)                                     5        3-5万元/吨
28   铜(电解铜)                                        4        $8,500-9,500/吨
29   氮化铝陶瓷基板                                       4        300-500元/片
30   镓                                             3        战略管制/公开价格失真
31   中硼硅玻璃                                         3        国产化率~50%
32   CNT碳纳米管                                       3        ¥300-500/kg(多壁)
33   液态金属(镓铟)                                      3        ¥5,000-8,000/kg
34   GH4169高温合金                                    2        20-25万元/吨
35   铝锂合金(2195)                                    2        未公开/军品定价
36   锗                                             2        8,000-10,000元/kg
37   生猪(三元)                                        2        14-16元/kg
38   白糖(SR)                                        2        ¥5,800-6,200/吨
39   水泥(PO42.5)                                    2        ¥300-350/吨
40   浮法玻璃                                          2        ¥1,800-2,200/吨
41   玻璃瓶                                           2        ¥0.3-0.8/只
42   锑                                             1        8-10万元/吨
43   白银                                            1        $29-32/oz
44   铝(电解铝)                                        1        1.9-2.1万元/吨
45   锌(0#锌锭)                                       1        2.1-2.3万元/吨
46   铅(1#铅锭)                                       1        1.5-1.7万元/吨

【新能源】(31个材料, 总覆盖542次)
排名   材料名称                                          覆盖ETF    当前状态
----------------------------------------------------------------------------------------------------
1    绿氢(H2)/绿氨(NH3)                                56       绿氢$4-6/kg / 绿氨$500-700/吨
2    化工(聚氨酯/MDI)                                   38       12000-15000元/吨
3    银浆(光伏)                                        36       600-800元/kg
4    光伏玻璃                                          36       22-28元/平米
5    光伏组件(衰减率)                                     28       质量信息不透明, 劣质组件驱逐优质
6    固态电解质(硫化物)                                    28       5000-8000元/kg
7    钠离子电池(层状氧化物)                                  28       0.3-0.4元/Wh
8    全钒液流电池                                        28       2-3元/Wh
9    风电叶片(碳纤维预浸料)                                  28       80-120元/kg
10   储能电芯(磷酸铁锂)                                    28       0.35-0.45元/Wh
11   钙钛矿材料(锡氧化物)                                   28       2000-5000元/kg
12   固态电池电解质(硫化物/氧化物)                              22       $200-500/kg(量产初期)
13   锂辉石(6%Li2O)                                   20       $800-1,200/吨
14   氢能催化剂(铂碳)                                     20       15-25万元/kgPt
15   隔膜(湿法)                                        20       1.2-1.8元/平米
16   正极材料(三元)                                      20       15-20万元/吨
17   负极材料(石墨)                                      20       3-5万元/吨
18   逆变器IGBT模块                                     20       0.8-1.2元/W
19   碳纤维(T700-T800)                                4        120-150元/kg
20   氮氧化钽钇(储能电池材料)                                 4        25-35万元/吨
21   钛氧化钒(电池正极)                                    4        18-25万元/吨
22   碳酸锂(电池级)                                      3        8-10万元/吨
23   石墨负极                                          3        2.5-3.5万元/吨
24   光伏玻璃(2.0mm)                                   3        18-22元/㎡
25   固态电池电解质(LLZO)                                 3        实验室阶段/未定价
26   钙钛矿光伏                                         3        实验室效率26%+
27   氢能催化剂(质子交换膜)                                  3        Pt载量0.2mg/cm²
28   湿法PE隔膜                                        2        0.8-1.2元/㎡
29   正面银浆                                          2        5,000-6,000元/kg
30   金属锂负极                                         2        实验室阶段
31   钠电正极(普鲁士蓝/层状)                                 2        ¥30-50/kg(层状氧化物)

【其他】(56个材料, 总覆盖359次)
排名   材料名称                                          覆盖ETF    当前状态
----------------------------------------------------------------------------------------------------
1    数据中心电力(LNG/燃气轮机/SMR)                          61       LNG $12-15/MMBtu / 燃气轮机$500-80..
2    可降解塑料(PBAT/PLA)                               55       12000-15000元/吨
3    锆英砂/氧化锆                                       43       锆英砂20000-25000元/吨
4    汽车钢(高强度)                                      37       4500-5500元/吨
5    水电燃料(水资源)                                     30       N/A
6    电子特气(高纯)                                      8        50-80万元/吨
7    光纤光缆(海底)                                      7        0.8-1.5元/芯/公里
8    特高压绝缘子(复合)                                    7        500-800元/套
9    液冷散热材料(氟化液)                                   5        80-120万元/吨
10   氧化镨钕                                          4        38-42万元/吨
11   原油(Brent)                                     4        $70-80/桶
12   大豆(进口)                                        3        ¥4,000-4,500/吨
13   光模块芯片(EML)                                    3        国产化率<30%
14   溅射靶材(Ta/Cu)                                   3        国产化率<10%
15   高纯氢氟酸                                         3        电子级国产率<30%
16   氢氧化锂                                          3        7-9万元/吨
17   多晶硅(致密料)                                      3        40-50元/kg
18   动力煤                                           3        800-900元/吨
19   PVC                                           3        5,500-6,500元/吨
20   螺纹钢(HRB400)                                   3        ¥3,500-3,800/吨
21   PET塑料                                         3        ¥7,500-8,500/吨
22   PTFE高频基材                                      3        国产化率<15%
23   量子点                                           3        ¥50-100/克(光学级)
24   eVTOL复材                                       3        ¥800-1,200/kg(预浸料)
25   MOF金属有机框架                                     3        研发级¥5-10万/kg
26   黄金(Au9999)                                    2        $2400-2500/oz
27   镍(电解镍)                                        2        12-14万元/吨
28   钴(电解钴)                                        2        20-25万元/吨
29   钨(APT)                                        2        18-20万元/吨
30   LiPF6电解液                                      2        6-8万元/吨
31   EVA胶膜                                         2        8-10元/㎡
32   海绵钛(0级)                                       2        5.0-5.5万元/吨
33   铼                                             2        战略物资/不公开
34   铂                                             2        $900-$1,100/oz
35   钯                                             2        $900-$1,100/oz
36   锡                                             2        24-28万元/吨
37   天然气(JKM)                                      2        $10-12/MMBtu
38   PTA                                           2        5,500-6,500元/吨
39   甲醇                                            2        2,200-2,800元/吨
40   尿素                                            2        2,000-2,400元/吨
41   无血清培养基                                        2        国产化率<20%
42   微球/微载体                                        2        完全依赖进口
43   PEG修饰剂                                        2        国产化率<30%
44   玉米                                            2        ¥2,400-2,600/吨
45   棉花(328)                                       2        ¥15,500-16,500/吨
46   天然橡胶(TSR20)                                   2        ¥12,000-14,000/吨
