iter	RMSE
0	8.132141466
1	8.086662335
2	8.053596062
3	8.015888739
4	7.981871343
5	7.946411428
6	7.912573044
7	7.87450282
8	7.854647553
9	7.818304595
10	7.782653879
11	7.752902496
12	7.723757766
13	7.686226481
14	7.662201704
15	7.640455366
16	7.61486933
17	7.594187725
18	7.553848425
19	7.534260239
20	7.507024847
21	7.482185258
22	7.463073191
23	7.442944224
24	7.426965741
25	7.416874959
26	7.398016267
27	7.374686862
28	7.362168632
29	7.34733755
30	7.337669218
31	7.299256553
32	7.281750672
33	7.267188412
34	7.253232918
35	7.240579641
36	7.227685828
37	7.211989692
38	7.186279862
39	7.176158208
40	7.165227437
41	7.151518334
42	7.098946423
43	7.081370544
44	7.059056552
45	7.007654369
46	7.000649272
47	6.982434687
48	6.971406828
49	6.962470592
50	6.93910527
51	6.92901307
52	6.923357309
53	6.900282627
54	6.883573491
55	6.86083074
56	6.843125471
57	6.824359792
58	6.813742592
59	6.794227075
60	6.755273186
61	6.746113977
62	6.712423699
63	6.70683688
64	6.661781809
65	6.652416996
66	6.644470025
67	6.635094513
68	6.626336038
69	6.617364264
70	6.60706015
71	6.588885113
72	6.581139998
73	6.551869567
74	6.546943317
75	6.529872694
76	6.516826123
77	6.489321635
78	6.475128631
79	6.465633415
80	6.459865243
81	6.450147378
82	6.445124531
83	6.437443869
84	6.406953008
85	6.396265836
86	6.387035946
87	6.377170537
88	6.373291224
89	6.367487411
90	6.363874959
91	6.351963058
92	6.325465659
93	6.311637226
94	6.281144202
95	6.27489833
96	6.269236643
97	6.243632035
98	6.235025673
99	6.211209969
100	6.203604722
101	6.194762008
102	6.182705717
103	6.175259898
104	6.171624364
105	6.164093431
106	6.155787281
107	6.14729563
108	6.138316619
109	6.128279601
110	6.118828529
111	6.113173663
112	6.103402917
113	6.095649977
114	6.085439472
115	6.06310267
116	6.043128377
117	6.026344777
118	6.017757816
119	6.00719472
120	6.003359477
121	5.987255226
122	5.982776634
123	5.961588058
124	5.956783366
125	5.952720011
126	5.938790842
127	5.934416535
128	5.9292017
129	5.921758144
130	5.913197672
131	5.910519945
132	5.90431735
133	5.897516663
134	5.89234757
135	5.870982895
136	5.868372395
137	5.845134061
138	5.836565665
139	5.828203026
140	5.819251514
141	5.812313325
142	5.806726238
143	5.800191502
144	5.795524228
145	5.790061383
146	5.785626209
147	5.780069722
148	5.772457005
149	5.764033626
150	5.755923844
151	5.74437048
152	5.73591381
153	5.729723982
154	5.720787319
155	5.71525482
156	5.706305218
157	5.701211652
158	5.695414575
159	5.687955666
160	5.676011188
161	5.670597108
162	5.664483748
163	5.660007909
164	5.65167943
165	5.633525619
166	5.627901988
167	5.622309429
168	5.616866575
169	5.612427987
170	5.608788435
171	5.601995691
172	5.594174243
173	5.588925377
174	5.584504787
175	5.579937827
176	5.571762868
177	5.564669509
178	5.551201386
179	5.545929758
180	5.537528882
181	5.528310449
182	5.521500223
183	5.51679132
184	5.511059422
185	5.503944777
186	5.496506663
187	5.483906805
188	5.472507582
189	5.463460358
190	5.452869556
191	5.447906592
192	5.428115127
193	5.417663191
194	5.411508714
195	5.404314767
196	5.398126999
197	5.394451184
198	5.389773078
199	5.380278499
200	5.370661658
201	5.36391307
202	5.355891245
203	5.349495562
204	5.339725079
205	5.33435951
206	5.330935046
207	5.326282175
208	5.318145206
209	5.309770728
210	5.304158557
211	5.301607972
212	5.290077243
213	5.286609039
214	5.266373442
215	5.262396185
216	5.249371908
217	5.245527235
218	5.24247754
219	5.232888984
220	5.227045536
221	5.2223613
222	5.218103499
223	5.212574671
224	5.205358678
225	5.200056321
226	5.196369723
227	5.191523132
228	5.189611802
229	5.186291443
230	5.179562582
231	5.171177417
232	5.165456212
233	5.160981022
234	5.150450875
235	5.145295116
236	5.141115314
237	5.132623055
238	5.121171454
239	5.114076674
240	5.110349377
241	5.101067498
242	5.09131719
243	5.089034263
244	5.085628735
245	5.0726322
246	5.06470737
247	5.054952167
248	5.0500215
249	5.046518274
250	5.043176383
251	5.036717903
252	5.030135699
253	5.025523411
254	5.020010127
255	5.014988035
256	5.012968812
257	5.004763793
258	5.000057771
259	4.993670552
260	4.987497775
261	4.982861268
262	4.972603573
263	4.967019376
264	4.961930229
265	4.957622257
266	4.951715764
267	4.938584118
268	4.931292689
269	4.928414709
270	4.924309815
271	4.916657623
272	4.914337572
273	4.910757279
274	4.907777634
275	4.901631284
276	4.897629541
277	4.892809531
278	4.886932489
279	4.883995992
280	4.879431548
281	4.874309689
282	4.867821855
283	4.864012888
284	4.85508769
285	4.849721207
286	4.846889477
287	4.841878969
288	4.839710285
289	4.837627492
290	4.830272785
291	4.826266419
292	4.822945853
293	4.8180474
294	4.811850449
295	4.810296783
296	4.803512211
297	4.801632512
298	4.794107302
299	4.791328183
