iter	Passed	Remaining
0	2	682
1	4	663
2	6	678
3	9	696
4	12	720
5	17	848
6	19	831
7	22	808
8	24	791
9	26	776
10	28	760
11	32	775
12	34	763
13	37	757
14	41	781
15	43	775
16	46	772
17	48	762
18	50	752
19	52	741
20	55	734
21	57	728
22	59	719
23	62	714
24	64	706
25	66	698
26	68	691
27	70	683
28	72	675
29	74	668
30	76	661
31	78	653
32	79	646
33	81	640
34	83	633
35	85	627
36	87	621
37	89	615
38	91	610
39	93	605
40	95	600
41	96	595
42	98	590
43	100	584
44	102	579
45	104	574
46	105	570
47	107	566
48	109	562
49	111	557
50	113	553
51	115	549
52	117	545
53	119	542
54	120	538
55	123	536
56	124	532
57	126	529
58	128	525
59	130	521
60	132	518
61	134	515
62	135	511
63	137	508
64	139	505
65	141	501
66	143	498
67	145	495
68	147	492
69	148	489
70	150	486
71	153	484
72	155	482
73	156	479
74	158	476
75	160	474
76	162	471
77	164	468
78	166	465
79	168	463
80	170	460
81	172	458
82	174	455
83	176	452
84	178	450
85	179	447
86	182	447
87	185	446
88	187	444
89	189	442
90	191	440
91	194	438
92	196	437
93	198	435
94	201	433
95	203	432
96	205	430
97	208	428
98	210	426
99	212	425
100	214	423
101	217	421
102	219	419
103	221	417
104	223	414
105	225	412
106	227	410
107	230	408
108	232	406
109	234	404
110	236	402
111	238	400
112	240	398
113	243	396
114	245	394
115	247	392
116	249	390
117	252	389
118	254	387
119	256	385
120	259	383
121	261	381
122	264	380
123	266	378
124	268	375
125	270	373
126	272	371
127	275	370
128	277	368
129	279	365
130	281	363
131	283	361
132	286	359
133	288	357
134	290	354
135	292	352
136	294	350
137	296	348
138	298	346
139	300	343
140	302	341
141	304	339
142	309	339
143	311	337
144	312	334
145	314	332
146	316	329
147	318	327
148	336	341
149	338	338
150	341	336
151	343	334
152	345	331
153	346	328
154	348	326
155	350	323
156	352	321
157	354	318
158	356	315
159	358	313
160	360	311
161	362	308
162	364	306
163	365	303
164	368	301
165	369	298
166	372	296
167	374	293
168	376	291
169	378	289
170	380	286
171	382	285
172	385	282
173	387	280
174	389	278
175	391	275
176	393	273
177	394	270
178	397	268
179	398	265
180	400	263
181	402	261
182	404	258
183	406	256
184	408	253
185	410	251
186	412	249
187	414	246
188	416	244
189	417	241
190	419	239
191	421	237
192	423	235
193	426	232
194	428	230
195	430	228
196	432	225
197	434	223
198	435	221
199	437	218
200	439	216
201	441	214
202	443	211
203	445	209
204	447	207
205	449	205
206	451	202
207	453	200
208	454	198
209	456	195
210	459	193
211	461	191
212	462	189
213	465	186
214	466	184
215	468	182
216	470	180
217	472	177
218	475	175
219	476	173
220	478	171
221	480	168
222	482	166
223	484	164
224	486	162
225	488	159
226	490	157
227	491	155
228	493	153
229	495	150
230	497	148
231	499	146
232	501	144
233	503	141
234	505	139
235	507	137
236	509	135
237	510	133
238	512	130
239	514	128
240	516	126
241	518	124
242	520	122
243	522	119
244	524	117
245	526	115
246	528	113
247	530	111
248	531	108
249	533	106
250	535	104
251	538	102
252	540	100
253	542	98
254	544	96
255	546	94
256	548	91
257	550	89
258	552	87
259	554	85
260	556	83
261	558	81
262	560	78
263	562	76
264	564	74
265	566	72
266	568	70
267	570	68
268	572	65
269	573	63
270	575	61
271	577	59
272	579	57
273	581	55
274	583	53
275	585	50
276	587	48
277	589	46
278	591	44
279	593	42
280	595	40
281	597	38
282	599	36
283	601	33
284	603	31
285	605	29
286	606	27
287	608	25
288	610	23
289	612	21
290	614	19
291	616	16
292	618	14
293	620	12
294	622	10
295	623	8
296	625	6
297	627	4
298	629	2
299	631	0
